longitude_deg,longitude_min,latitude_deg,latitude_min,speed,bearing_deg
-83,-43.74266,42,16.55204,0,324.5217417
-83,-43.74266,42,16.55204,0,324.5217417
-83,-43.74266,42,16.55204,0,324.5217417
-83,-43.74266,42,16.55204,0,324.8482194
-83,-43.74266,42,16.55204,0,324.8482194
-83,-43.74266,42,16.55204,0,323.0009221
-83,-43.74266,42,16.55204,0,323.0009221
-83,-43.74266,42,16.55204,0,324.9169126
-83,-43.742659,42,16.552038,5.19E-08,321.3280389
-83,-43.74265818,42,16.55203636,1.10E-07,321.3280389
-83,-43.7426575,42,16.552035,1.73E-07,325.030671
-83,-43.74265692,42,16.55203385,2.43E-07,325.030671
-83,-43.74265643,42,16.55203286,3.19E-07,324.9661549
-83,-43.742656,42,16.552032,4.00E-07,324.9661549
-83,-43.74265562,42,16.55203125,4.88E-07,326.6168667
-83,-43.74265529,42,16.55203059,5.81E-07,326.6168667
-83,-43.742655,42,16.55202889,8.47E-07,324.5705999
-83,-43.74265474,42,16.55202737,1.13E-06,324.5705999
-83,-43.7426545,42,16.552026,1.43E-06,327.0181488
-83,-43.74265429,42,16.55202476,1.75E-06,327.0181488
-83,-43.74265409,42,16.55202364,2.09E-06,324.2921494
-83,-43.74265391,42,16.55202261,2.44E-06,324.2921494
-83,-43.74265375,42,16.55202167,2.81E-06,323.1994376
-83,-43.7426536,42,16.5520208,3.19E-06,323.1994376
-83,-43.74265346,42,16.55201885,4.16E-06,330.6231512
-83,-43.74265333,42,16.55201704,5.17E-06,330.6231512
-83,-43.74265321,42,16.55201536,6.22E-06,330.6231512
-83,-43.7426531,42,16.55201379,7.30E-06,326.4798298
-83,-43.742653,42,16.55201233,8.43E-06,326.4798298
-83,-43.7426529,42,16.55201097,9.60E-06,328.6839903
-83,-43.74265281,42,16.55200969,1.08E-05,328.6839903
-83,-43.74265273,42,16.55200848,1.21E-05,325.4953375
-83,-43.74265265,42,16.55200735,1.33E-05,325.4953375
-83,-43.74265229,42,16.55200571,1.54E-05,325.9895632
-83,-43.74265194,42,16.55200417,1.75E-05,325.9895632
-83,-43.74265162,42,16.5520027,1.97E-05,325.9895632
-83,-43.74265132,42,16.55200131,2.19E-05,326.934524
-83,-43.74265103,42,16.552,2.42E-05,326.934524
-83,-43.74265075,42,16.55199875,2.66E-05,326.644114
-83,-43.74265049,42,16.55199756,2.90E-05,326.644114
-83,-43.74265024,42,16.55199643,3.15E-05,324.9814458
-83,-43.74265,42,16.55199535,3.40E-05,324.9814458
-83,-43.74264954,42,16.55199341,3.90E-05,322.8193154
-83,-43.74264911,42,16.55199155,4.40E-05,322.8193154
-83,-43.74264869,42,16.55198978,4.91E-05,322.8193154
-83,-43.7426483,42,16.55198808,5.44E-05,326.5406067
-83,-43.74264792,42,16.55198645,5.98E-05,326.5406067
-83,-43.74264755,42,16.55198489,6.53E-05,324.1104077
-83,-43.7426472,42,16.55198339,7.09E-05,324.1104077
-83,-43.74264686,42,16.55198195,7.66E-05,324.2606859
-83,-43.74264654,42,16.55198057,8.24E-05,324.2606859
-83,-43.7426466,42,16.55197886,8.98E-05,324.8003845
-83,-43.74264666,42,16.55197721,9.74E-05,324.8003845
-83,-43.74264673,42,16.55197562,0.000105153,324.9211246
-83,-43.74264678,42,16.55197409,0.000113044,324.9211246
-83,-43.74264684,42,16.55197262,0.000121088,325.0322889
-83,-43.74264689,42,16.55197119,0.000129285,325.0322889
-83,-43.74264695,42,16.55196981,0.000137633,324.6960722
-83,-43.742647,42,16.55196848,0.000146132,324.6960722
-83,-43.74264721,42,16.55196752,0.000152517,325.5340153
-83,-43.74264742,42,16.55196659,0.000159024,325.5340153
-83,-43.74264762,42,16.55196569,0.00016565,324.5083537
-83,-43.74264781,42,16.55196482,0.000172396,324.5083537
-83,-43.742648,42,16.55196397,0.00017926,324.5083537
-83,-43.74264818,42,16.55196315,0.000186241,323.8801225
-83,-43.74264836,42,16.55196236,0.00019334,323.8801225
-83,-43.74264853,42,16.55196159,0.000200555,331.8434341
-83,-43.7426487,42,16.55196084,0.000207885,331.8434341
-83,-43.74264914,42,16.55195982,0.000218277,323.9384757
-83,-43.74264958,42,16.55195884,0.000228869,323.9384757
-83,-43.74265,42,16.55195788,0.000239657,323.2989979
-83,-43.74265041,42,16.55195694,0.000250636,323.2989979
-83,-43.74265081,42,16.55195604,0.000261803,325.9009366
-83,-43.7426512,42,16.55195515,0.000273156,325.9009366
-83,-43.74265158,42,16.55195429,0.000284691,326.8881423
