lat_deg,lat_min,long_deg,long_min,bearing,speed
42,16.5960742,-83,-44.29085915,116.8958908,0
42,16.5960742,-83,-44.29085915,116.8958908,0
42,16.5960742,-83,-44.29085915,116.8958908,0
42,16.5960742,-83,-44.29085915,116.8958908,0
42,16.59598627,-83,-44.29104777,110.9977632,1.45E-06
42,16.59592346,-83,-44.2911825,110.9977632,3.21E-06
42,16.59587635,-83,-44.29128355,110.9977632,5.27E-06
42,16.59583971,-83,-44.29136214,110.9977632,7.64E-06
42,16.5958104,-83,-44.29142502,110.9977632,1.03E-05
42,16.5957503,-83,-44.2914533,111.9636793,1.39E-05
42,16.59570022,-83,-44.29147687,111.9636793,1.81E-05
42,16.59565784,-83,-44.29149682,111.9636793,2.29E-05
42,16.59562152,-83,-44.29151392,111.9636793,2.83E-05
42,16.59560045,-83,-44.29142988,112.5354142,2.79E-05
42,16.59558201,-83,-44.29135634,112.5354142,3.26E-05
42,16.59556573,-83,-44.29129146,112.5354142,4.14E-05
42,16.59555127,-83,-44.29123378,112.5354142,5.29E-05
42,16.59553833,-83,-44.29118218,112.5354142,6.63E-05
42,16.59561976,-83,-44.2912225,114.57516,3.65E-05
42,16.59569343,-83,-44.29125898,114.57516,3.53E-05
42,16.59576041,-83,-44.29129215,114.57516,6.80E-05
42,16.59582157,-83,-44.29132243,114.57516,0.000109496
42,16.59580832,-83,-44.29138973,113.3872994,0.000109452
42,16.59579612,-83,-44.29145164,113.3872994,0.000123947
42,16.59578487,-83,-44.2915088,113.3872994,0.000150247
42,16.59577445,-83,-44.29156172,113.3872994,0.000184572
42,16.59576478,-83,-44.29161086,113.3872994,0.000224305
42,16.59578032,-83,-44.29169047,115.4818058,0.000308805
42,16.59579483,-83,-44.29176477,115.4818058,0.000396333
42,16.5958084,-83,-44.29183428,115.4818058,0.000486886
42,16.59582113,-83,-44.29189944,115.4818058,0.000580459
42,16.59580599,-83,-44.29190972,111.6584946,0.000588874
42,16.59579173,-83,-44.2919194,111.6584946,0.000599563
42,16.5957783,-83,-44.29192852,111.6584946,0.0006126
42,16.59576561,-83,-44.29193714,111.6584946,0.000628031
42,16.59577032,-83,-44.29193774,108.6991106,0.000629767
42,16.59577479,-83,-44.29193831,108.6991106,0.000631861
42,16.59577902,-83,-44.29193885,108.6991106,0.000634337
42,16.59578305,-83,-44.29193936,108.6991106,0.000637216
42,16.59578688,-83,-44.29193985,108.6991106,0.000640519
42,16.5958102,-83,-44.29192435,110.9549528,0.00061438
42,16.59583243,-83,-44.29190958,110.9549528,0.0006081
42,16.59585366,-83,-44.29189548,110.9549528,0.000623772
42,16.59587395,-83,-44.29188201,110.9549528,0.000661269
42,16.59588204,-83,-44.29187311,104.5552751,0.000674339
42,16.59588979,-83,-44.29186459,104.5552751,0.000692677
42,16.59589721,-83,-44.29185643,104.5552751,0.000716207
42,16.59590434,-83,-44.2918486,104.5552751,0.000744758
42,16.59590619,-83,-44.2918498,106.0682213,0.000759705
42,16.59590798,-83,-44.29185094,106.0682213,0.000774954
42,16.59590969,-83,-44.29185205,106.0682213,0.000790502
42,16.59591134,-83,-44.29185311,106.0682213,0.000806351
42,16.59589746,-83,-44.29185579,106.573616,0.000697665
42,16.59588407,-83,-44.29185838,106.573616,0.000595451
42,16.59587117,-83,-44.29186087,106.573616,0.000505535
42,16.59585872,-83,-44.29186328,106.573616,0.000437796
42,16.59584669,-83,-44.2918656,106.573616,0.000405967
42,16.59584738,-83,-44.29187698,99.69071979,0.000506806
42,16.59584805,-83,-44.29188798,99.69071979,0.000609563
42,16.59584869,-83,-44.29189862,99.69071979,0.000714146
42,16.59584932,-83,-44.29190891,99.69071979,0.000820505
42,16.59585432,-83,-44.29190881,99.09866341,0.000833029
42,16.59585917,-83,-44.2919087,99.09866341,0.000852027
42,16.59586387,-83,-44.2919086,99.09866341,0.000877368
42,16.59586843,-83,-44.2919085,99.09866341,0.000908805
42,16.59586484,-83,-44.29194346,102.1111282,0.001310847
42,16.59586136,-83,-44.2919774,102.1111282,0.001747851
42,16.59585798,-83,-44.29201036,102.1111282,0.002203316
